#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
20,CRWV,CALL,1.027804594862381,-13.009901909028356,1814500.0,-83.22160062878542,8.18321463482754,Allégé,140569315,1.027804594862381,14.037706503890737,7.653724070699947,,,
21,CLSK,Actions,0.7638558062291977,0.46293909098018127,12276139.0,648.3625335284077,-15.909090820548698,Renforcé,104469943,0.7638558062291977,0.3009167152490164,,,,
22,SEI,Actions,0.4567979175340583,-1.0985177159260475,1105551.0,-40.76876506830967,22.92799649979278,Allégé,62474687,0.4567979175340583,1.555315633460106,1.111005176187359,,,
23,BE,CALL,0.4046870712993358,-0.2387082485658123,408500.0,0.0,55.9327885832662,Inchangé,55347665,0.4046870712993358,0.6433953198651481,,,,
24,TE,Actions,0.32098485871157967,,10000000.0,,,Nouveau,43900000,0.32098485871157967,,,,,
25,BITF,Actions,0.28338713447925346,-0.010411940745601256,19875840.0,188.17676994678922,-17.021276595744684,Renforcé,38757888,0.28338713447925346,0.2937990752248547,,,,
26,BTDR,Actions,0.21753299614689914,-0.1457868874975602,3439450.0,92.36297539149888,-22.836751602390027,Renforcé,29751243,0.21753299614689914,0.36331988364445933,0.3838919382831179,,,
27,PSIX,Actions,0.19243315738385983,-0.2553229423986838,432300.0,0.0,6.545327266363321,Inchangé,26318424,0.19243315738385983,0.4477560997825436,,,,
28,GLW,PUT,0.15369955620846207,,154600.0,,,Nouveau,21020962,0.15369955620846207,,,,,
29,WYFI,Actions,0.15305651897875253,-0.3503202516417848,1757600.0,0.0,-24.62025316455696,Inchangé,20933016,0.15305651897875253,0.5033767706205373,,,,
30,AMD,Actions,0.14746031979272387,,99138.0,,,Nouveau,20167643,0.14746031979272387,,,,,
31,BW,Actions,0.1454214298195703,-0.010172226150147567,1353900.0,0.0,131.70347003154572,Inchangé,19888791,0.1454214298195703,0.15559365596971786,,,,
32,SHAZ,Actions,0.13230962973315363,,796108.0,,,Nouveau,18095535,0.13230962973315363,,,,,
33,PUMP,Actions,0.09591102889100285,-0.06100998266365497,910300.0,0.0,51.524710830704535,Inchangé,13117423,0.09591102889100285,0.15692101155465782,,,,
34,SMH,Actions,0.07554937996968175,,26950.0,,,Nouveau,10332630,0.07554937996968175,,,,,
35,INTC,Actions,0.06528964368470128,0.06528897300098294,202344.0,20234300.0,19.27027401022181,Renforcé,8929441,0.06528964368470128,6.706837183385817e-07,,,,
36,TSM,Actions,0.055407199875674704,,22423.0,,,Nouveau,7577853,0.055407199875674704,,,,,
37,INFY,PUT,0.04939072256484557,-0.11211716744587776,500000.0,0.0,-24.18630751964086,Inchangé,6755000,0.04939072256484557,0.16150789001072333,,,,
38,HIVE,Actions,0.04711632914489835,,3391547.0,,,Nouveau,6443939,0.04711632914489835,,,,,
39,ASML,Actions,0.04474342481375704,,4633.0,,,Nouveau,6119405,0.04474342481375704,,,,,
40,MU,Actions,0.04288751083352506,,17362.0,,,Nouveau,5865578,0.04288751083352506,,,,,
41,GLW,Actions,0.005252233566248041,,5283.0,,,Nouveau,718330,0.005252233566248041,,,,,
42,NVDA,Actions,0.0036405971063963563,,2855.0,,,Nouveau,497912,0.0036405971063963563,,,,,
